lat	lon	limit	kind	dir	road	place	enforce
33.247640	126.276702	50	F	1	일주서로	보성초등학교 입구 교차로	T
33.253248	126.560699	50	F	2	일주동로	중앙로터리	T
33.257527	126.287340	80	E	2	평화로	안성1교차로 북측 종점	S
33.260402	126.617664	50	F	1	일주서로	아서원 앞 교차로(하효중앙사거리)	T
33.260577	126.494642	60	E	2	중산간서로	중산간서로 엉또폭포입구 종점	S
33.260676	126.517242	50	S	2	중산간동로	중산간서로 서귀포시산림조합 시점	S
33.260710	126.617371	50	F	2	일주동로	하효중앙사거리	T
33.262304	126.427517	60	F	2	중산간서로	중산간서로 중문로 입구	T
33.262394	126.449104	60	S	2	중산간서로	중산간서로 회수입구 시점	S
33.263933	126.553495	50	E	2	중산간동로	중산간서로 열방교회 종점	S
33.266936	126.642359	60	F	2	일주동로	공천포 교차로	T
33.268203	126.369464	50	F	2	한창로	네거리슈퍼 앞	S
33.274136	126.650114	60	F	2	일주동로	종남1교 (남원 → 서귀포)	S
33.283204	126.320529	80	S	2	평화로	서광1교차로 남측 시점	S
33.289184	126.743926	50	F	1	일주동로	뒷못동교차로	T
33.301082	126.767353	50	F	2	일주동로	신흥교차로	T
33.306969	126.804442	50	F	2	일주동로	세화2리사무소 정류장 앞	S
33.309099	126.307585	60	F	2	신화역사로	동복분교 앞(김녕>제주)	T
33.317558	126.600573	60	E	2	서성로	법환초교 앞 (서귀포 → 제주시)	S
33.322103	126.714444	50	E	2	남조로	남조로 불미터교차로 종점	S
33.326070	126.669055	60	F	1	서성로	온평초등학교 앞	S
33.330508	126.674296	60	S	2	서성로	머체왓숲길 입구	S
33.331399	126.710388	50	S	2	남조로	남조로 수망리 시점	S
33.335865	126.841443	60	F	1	일주동로	하천교차로(일주동로)	T
33.338045	126.356121	80	S	1	평화로	광평교차로 동측	S
33.348873	126.186413	50	F	1	일주서로	한동초등학교 앞 사거리	T
33.353040	126.823470	70	F	2	번영로	하천교차로	T
33.357320	126.822735	70	F	2	번영로	해안경비단 앞	S
33.364851	126.199851	60	F	2	일주서로	판포삼거리	S
33.376934	126.873622	50	F	2	일주동로	서동교차로(성산→표선)	T
33.386614	126.618785	50	S	1	516로	맞은편 성판악 시점	S
33.388585	126.376083	60	S	1	산록서로	산록서로 어음1교차로 시점	S
33.388844	126.376544	60	F	2	산록서로	어음1교차로 종점(노형→애월)	S
33.412853	126.833147	60	E	2	서성일로	모구리야영장 종점	S
33.419964	126.492046	60	F	2	1100로	호국원 입구 시점(노형→애월)	S
33.420214	126.492502	60	E	1	산록서로	천왕사 종점	S
33.424222	126.277694	60	F	1	일주서로	대림사거리 북측(애월>한림)	S
33.434357	126.671802	60	S	1	남조로	교래사거리 시점	S
33.435656	126.736062	70	F	1	번영로	대천교차로	T
33.437683	126.870768	60	S	2	서성일로	서성일로 수산2리입구 교차로 시점	S
33.438019	126.279921	70	F	2	일주서로	귀덕2리 마을입구(예인교회 맞은편)(애월→한림)	S
33.438494	126.573971	50	E	1	516로	첨단로 입구	S
33.440588	126.429324	80	E	1	평화로	제주공룡랜드 입구	S
33.440596	126.429335	80	E	1	평화로	제주공룡랜드 입구	S
33.441994	126.911881	60	F	1	일주동로	성산읍사무소 앞	S
33.442491	126.884603	50	E	2	서성일로	수산사거리 동측(종점)	S
33.443610	126.562845	50	E	1	516로	제주의료원 남측 종점	S
33.446475	126.906855	50	S	2	서성일로	고성교차로 서측(시점)	S
33.459920	126.447060	70	F	1	평화로	무수천사거리(서귀포→제주시)	T
33.461307	126.512500	80	F	2	애조로	오라교차로(아라→연동)	T
33.463012	126.452628	70	F	1	노형로	무수천주유소 사거리 (중문>제주)	T
33.463250	126.339991	70	F	2	일주서로	고내리교차로	T
33.463818	126.485093	80	F	1	애조로	노형교차로	T
33.464570	126.344454	70	S	1	일주서로	일주서로 고내사거리 시점	S
33.466284	126.659963	60	E	1	남조로	남조로 교차로 종점	S
33.469806	126.363809	70	E	1	일주서로	일주서로 신엄사거리 종점	S
33.472728	126.426315	80	F	2	애조로	하귀장례식장 앞	S
33.473233	126.484369	50	F	1	1100로	제주고 앞 삼거리	S
33.475958	126.514619	50	F	1	오남로	한라도서관 앞	S
33.478160	126.468281	70	F	1	노형로	월산정수장 입구 교차로(월산→노형)	T
33.479086	126.429121	50	F	1	우광로	대정서초등학교 앞	S
33.480648	126.521722	60	F	1	연북로	부민장례식장 앞 교차로(연동→아라일동)	T
33.480688	126.471945	50	F	2	노형로	제주한라대학 입구 교차로	T
33.481659	126.489492	50	F	1	연북로	KCTV 서측 교차로(노형→연동)	T
33.481878	126.496074	50	F	2	신대로	정실입구교차로(오라동→연동)	T
33.482272	126.481301	50	F	1	1100로	우편집중국 앞 사거리	T
33.482750	126.462831	50	S	1	오광로	오광로 삼거리 시점	S
33.482755	126.402557	50	F	1	일주서로	미수동포구 입구	S
33.484553	126.535991	60	F	2	구산로	구산로입구 사거리(구 롯데시네마)	T
33.485341	126.410737	50	F	2	일주서로	하귀입구오거리(제주시→애월)	T
33.485650	126.550572	50	F	1	금월길	코델리아호텔 앞	S
33.485686	126.542675	50	F	1	516로	제주여중고입구 교차로(하나로마트 앞)(아라동→제주시청)	T
33.485882	126.604001	50	F	1	번영로	명도암교차로(회천→봉개)	T
33.485963	126.479150	50	F	2	노형로	노형로터리(제주시 →애월)	T
33.489801	126.489541	50	F	1	삼무로	삼무공원 사거리	T
33.490106	126.486177	50	F	2	도령로	롯데시티호텔 앞	T
33.492960	126.511422	50	F	2	연삼로	오라동주민센터 입구	S
33.493220	126.501846	50	S	1	연삼로	JIBS 앞(시점 3차로)	S
33.493278	126.531705	50	E	1	연삼로	연삼로 쿠쿠 서비스 센터 앞(종점 3차로)	S
33.493740	126.496537	50	F	2	연삼로	마리나 호텔 앞 사거리	T
33.493967	126.455916	50	E	1	오광로	노형동 이호테우 입구교차로 종점	S
33.494013	126.470652	50	F	2	일주서로	도두입구 삼거리	T
33.495872	126.494009	50	F	1	도령로	명주마을 입구(신광사거리→제주공항)	T
33.496937	126.580714	70	F	2	번영로	화물차공영차고지 앞	S
33.497250	126.892864	70	F	1	일주동로	종달교차로	T
33.497581	126.496762	50	F	2	도령로	신제주입구교차로	T
33.498923	126.501938	50	F	1	서광로	제주공항주유소 앞	S
33.503924	126.504244	50	F	1	용문로	월성사거리(제주공항→용담)	T
33.506223	126.506170	50	S	1	용해로	상고지빌라 남측 구간 시점	S
33.509699	126.543437	50	F	2	일주동로	사려니가든 앞 교차로(인제→화북)	T
33.511367	126.547626	50	F	2	동문로	국립제주박물관 교차로(제주항→봉개)	T
33.513863	126.502748	50	E	1	용해로	제주출입국 외국인청 앞 구간 종점	S
33.513930	126.540470	50	F	1	동문로	사라봉호텔 앞	S
33.514878	126.589002	50	F	2	연삼로	도련사거리	T
33.517199	126.580864	50	F	2	화삼북로	삼화상쾌한의원 앞 교차로(화북주공>부영1차)	T
